time T_d d2 
31.249166 282.349677 1.057784 
31.299978 282.349705 1.057715 
31.35079 282.349733 1.057646 
31.401602 282.34976 1.057577 
31.452414 282.349788 1.057508 
31.503226 282.349815 1.057439 
31.554038 282.349842 1.05737 
31.604848 282.349869 1.057301 
31.65566 282.349895 1.057232 
31.706472 282.349922 1.057163 
31.757284 282.349948 1.057094 
31.808096 282.349974 1.057025 
31.858908 282.35 1.056956 
31.90972 282.350025 1.056887 
31.960532 282.35005 1.056818 
32.011342 282.350076 1.056749 
32.062152 282.350101 1.05668 
32.112964 282.350126 1.056611 
32.163776 282.35015 1.056542 
32.214588 282.350175 1.056473 
32.2654 282.350199 1.056404 
32.316212 282.350223 1.056335 
32.367024 282.350247 1.056266 
32.417836 282.350271 1.056197 
32.468648 282.350294 1.056128 
32.519458 282.350318 1.056059 
32.57027 282.350341 1.05599 
32.621082 282.350364 1.055921 
32.671894 282.350387 1.055852 
32.722706 282.350409 1.055783 
32.773518 282.350432 1.055714 
32.82433 282.350454 1.055645 
32.875142 282.350476 1.055576 
32.925952 282.350498 1.055507 
32.976764 282.35052 1.055438 
33.027576 282.350542 1.055369 
33.078388 282.350563 1.0553 
33.1292 282.350585 1.055231 
33.180012 282.350606 1.055162 
33.230824 282.350627 1.055093 
33.281636 282.350648 1.055024 
33.332448 282.350669 1.054955 
33.383258 282.350689 1.054886 
33.43407 282.35071 1.054817 
33.484882 282.35073 1.054748 
33.535694 282.35075 1.054679 
33.586504 282.35077 1.05461 
33.637316 282.35079 1.054541 
33.688128 282.350809 1.054472 
33.73894 282.350829 1.054403 
33.789752 282.350848 1.054334 
33.840564 282.350868 1.054265 
33.891376 282.350887 1.054196 
33.942188 282.350906 1.054127 
33.993 282.350924 1.054058 
34.043812 282.350943 1.053989 
34.094624 282.350962 1.05392 
34.145436 282.35098 1.053851 
34.196248 282.350998 1.053782 
34.24706 282.351016 1.053713 
34.297872 282.351034 1.053644 
34.348684 282.351052 1.053576 
34.399496 282.35107 1.053507 
34.450304 282.351087 1.053438 
34.501116 282.351105 1.053369 
34.551928 282.351122 1.0533 
34.60274 282.351139 1.053231 
34.653552 282.351156 1.053162 
34.704364 282.351173 1.053093 
34.755176 282.35119 1.053024 
34.805988 282.351207 1.052955 
34.8568 282.351223 1.052886 
34.907612 282.35124 1.052817 
34.958424 282.351256 1.052748 
35.009236 282.351272 1.052679 
35.060048 282.351288 1.05261 
35.11086 282.351304 1.052541 
35.161672 282.35132 1.052472 
35.212484 282.351336 1.052403 
35.263296 282.351351 1.052334 
35.314104 282.351367 1.052265 
35.364916 282.351382 1.052196 
35.415728 282.351397 1.052127 
35.46654 282.351412 1.052058 
35.517352 282.351427 1.051989 
35.568164 282.351442 1.05192 
35.618976 282.351457 1.051851 
35.669788 282.351472 1.051782 
35.7206 282.351486 1.051713 
35.771412 282.3515 1.051644 
35.822224 282.351515 1.051575 
35.873036 282.351529 1.051506 
35.923848 282.351543 1.051437 
35.97466 282.351557 1.051368 
36.025472 282.351571 1.051299 
36.076284 282.351585 1.05123 
36.127096 282.351599 1.051161 
36.177908 282.351612 1.051092 
36.228716 282.351626 1.051023 
36.279528 282.351639 1.050954 
36.33034 282.351652 1.050885 
36.381152 282.351666 1.050816 
36.431964 282.351679 1.050747 
36.482776 282.351692 1.050678 
36.533588 282.351705 1.050609 
36.5844 282.351717 1.05054 
36.635212 282.35173 1.050471 
36.686024 282.351743 1.050402 
36.736836 282.351755 1.050333 
36.787648 282.351768 1.050264 
36.83846 282.35178 1.050195 
36.889272 282.351792 1.050126 
36.940084 282.351804 1.050057 
36.990896 282.351816 1.049988 
37.041708 282.351828 1.049919 
37.092516 282.35184 1.04985 
37.143328 282.351852 1.049781 
37.19414 282.351864 1.049712 
37.244952 282.351875 1.049643 
37.295764 282.351887 1.049574 
37.346576 282.351898 1.049505 
37.397388 282.351909 1.049436 
37.4482 282.351921 1.049367 
37.499012 282.351932 1.049298 
37.549824 282.351943 1.049229 
37.600636 282.351954 1.04916 
37.651448 282.351965 1.049091 
37.70226 282.351976 1.049022 
37.753072 282.351987 1.048953 
37.803884 282.351997 1.048884 
37.854696 282.352008 1.048815 
37.905508 282.352018 1.048746 
37.956316 282.352029 1.048677 
38.007128 282.352039 1.048608 
38.05794 282.352049 1.048539 
38.108752 282.35206 1.04847 
38.159564 282.35207 1.048401 
38.210376 282.35208 1.048332 
38.261188 282.35209 1.048263 
38.312 282.3521 1.048194 
38.362812 282.352109 1.048125 
38.413624 282.352119 1.048056 
38.464436 282.352129 1.047987 
38.515248 282.352138 1.047918 
38.56606 282.352148 1.047849 
38.616872 282.352157 1.04778 
38.667684 282.352167 1.047711 
38.718496 282.352176 1.047642 
38.769308 282.352185 1.047573 
38.820116 282.352195 1.047504 
38.870928 282.352204 1.047435 
38.92174 282.352213 1.047366 
38.972552 282.352222 1.047297 
39.023364 282.352231 1.047228 
39.074176 282.352239 1.047159 
39.124988 282.352248 1.04709 
39.1758 282.352257 1.047021 
39.226612 282.352266 1.046952 
39.277424 282.352274 1.046883 
39.328236 282.352283 1.046814 
39.379048 282.352291 1.046745 
39.42986 282.352299 1.046676 
39.480672 282.352308 1.046607 
39.531484 282.352316 1.046538 
39.582296 282.352324 1.046469 
39.633108 282.352332 1.0464 
39.683916 282.35234 1.046331 
39.734728 282.352348 1.046262 
39.78554 282.352356 1.046193 
39.836352 282.352364 1.046124 
39.887164 282.352372 1.046055 
39.937976 282.35238 1.045986 
39.988788 282.352388 1.045917 
40.0396 282.352395 1.045848 
40.090412 282.352403 1.045779 
40.141224 282.35241 1.04571 
40.192036 282.352418 1.045641 
40.242848 282.352425 1.045572 
40.29366 282.352433 1.045503 
40.344472 282.35244 1.045434 
40.395284 282.352447 1.045365 
40.446096 282.352454 1.045296 
40.496908 282.352462 1.045227 
40.54772 282.352469 1.045158 
40.598528 282.352476 1.045089 
40.64934 282.352483 1.04502 
40.700152 282.35249 1.044951 
40.750964 282.352496 1.044882 
40.801776 282.352503 1.044813 
40.852588 282.35251 1.044744 
40.9034 282.352517 1.044675 
40.954212 282.352523 1.044606 
41.005024 282.35253 1.044537 
41.055836 282.352537 1.044468 
41.106648 282.352543 1.044399 
41.15746 282.35255 1.04433 
41.208272 282.352556 1.044261 
41.259084 282.352562 1.044192 
41.309896 282.352569 1.044123 
41.360708 282.352575 1.044054 
41.41152 282.352581 1.043985 
41.462328 282.352587 1.043916 
41.51314 282.352594 1.043847 
41.563952 282.3526 1.043778 
41.614764 282.352606 1.043709 
41.665576 282.352612 1.04364 
41.716388 282.352618 1.043571 
41.7672 282.352624 1.043502 
41.818012 282.352629 1.043433 
41.868824 282.352635 1.043364 
41.919636 282.352641 1.043295 
41.970448 282.352647 1.043226 
42.02126 282.352652 1.043157 
42.072072 282.352658 1.043088 
42.122884 282.352664 1.043019 
42.173696 282.352669 1.04295 
42.224508 282.352675 1.042881 
42.27532 282.35268 1.042812 
42.326128 282.352686 1.042743 
42.37694 282.352691 1.042674 
42.427752 282.352696 1.042605 
42.478564 282.352702 1.042536 
42.529376 282.352707 1.042467 
